dt,u0,u1,u2,u3,robot_current_state_x,y,z,qw,qx,qy,qz,Vx,Vy,Vz,x_next,y_next,z_next,qw_next,qx_next,qy_next,qz_next,Vx_next,Vy_next,Vz_next
0.048000000,0.0918001,-0.0184918,-0.0029822,11.1094,-0.00626879,-0.0392206,0.5308,0.999972,-0.00419232,0.000883184,0.00615357,0.0130606,0.0743233,-0.390391,-0.00552138,-0.0349364,0.513254,0.999981,-0.00138078,0.000191912,0.00607013,0.014263,0.0817684,-0.30044,
0.040000000,0.0799152,-0.0177175,-0.00295062,11.0726,-0.00564046,-0.0356755,0.514818,0.999979,-0.00224029,0.00058841,0.00608927,0.0130725,0.0735007,-0.30787,-0.00489869,-0.0314713,0.49809,0.999982,-0.000191327,2.13002e-05,0.00600617,0.0140324,0.0791832,-0.263807,
0.012000000,-0.0589348,0.00765676,-0.00291525,9.91297,-0.00553615,-0.0350922,0.512628,0.99998,-0.00183136,0.000520175,0.00607872,4.68015e-310,0,6.95296e-310,-0.00547422,-0.0348128,0.513159,0.999971,-0.00478043,0.000884823,0.00593376,0.00135344,0.00656246,0.0106131,
0.040000000,-0.0589348,0.00765676,-0.00291525,9.91297,-0.00502184,-0.0322386,0.503764,0.999982,0.000262991,0.000129265,0.00602628,0.0127701,0.0706646,-0.204163,-0.00547422,-0.0348128,0.513159,0.999971,-0.00478043,0.000884823,0.00593376,0.00135344,0.00656246,0.0106131,
0.048000000,0.038339,-0.0111428,-0.00288922,10.6082,-0.00452993,-0.0295376,0.497382,0.999981,0.00163995,-0.000160444,0.00597313,4.68015e-310,0,6.95296e-310,-0.00374983,-0.025268,0.487356,0.99998,0.00218325,-0.000416274,0.00588142,0.0124811,0.0680678,-0.124011,
0.040000000,-0.0847422,0.0129536,-0.00286418,9.98588,-0.00398119,-0.0265526,0.491618,0.99998,0.00225878,-0.000349077,0.00591282,4.68015e-310,0,6.95296e-310,-0.00452509,-0.0295601,0.498278,0.99998,-0.00260092,0.000462148,0.00583025,0.00029571,0.000961359,0.0179244,
0.040000000,-0.084853,0.0137565,-0.002835,10.0136,-0.0034831,-0.0238669,0.488451,0.999979,0.00284209,-0.000560023,0.0058518,4.68015e-310,0,6.95296e-310,-0.00399352,-0.0266371,0.492653,0.999981,-0.00198781,0.000313967,0.00577109,-3.34711e-05,-0.000271562,0.0206986,
0.012000000,0.00257474,-0.00219725,-0.00280074,10.1996,-0.00340546,-0.0234489,0.488064,0.999979,0.0027873,-0.000565979,0.00584119,0.00989382,0.0532788,-0.0526442,-0.00247582,-0.0184101,0.484764,0.999979,0.00291675,-0.000674697,0.00570092,0.00866198,0.0474537,-0.0133635,
0.048000000,0.00257474,-0.00219725,-0.00280074,10.1996,-0.00304047,-0.0214794,0.486514,0.999981,0.00182278,-0.000440299,0.00578957,4.68015e-310,0,6.95296e-310,-0.00247582,-0.0184101,0.484764,0.999979,0.00291675,-0.000674697,0.00570092,0.00866198,0.0474537,-0.0133635,
0.040000000,-0.0684908,0.0124656,-0.00277555,10.0384,-0.00264705,-0.0193387,0.485809,0.999983,0.000837031,-0.00028442,0.0057378,4.68015e-310,0,6.95296e-310,-0.00306407,-0.0215478,0.487673,0.999983,-0.00160525,0.000163396,0.00565039,-0.000276633,-0.000219964,0.023178,
0.052000000,-0.0408192,0.0077507,-0.00272999,10.039,-0.00229136,-0.0173795,0.486445,0.999984,0.000173909,-0.000188773,0.00569438,4.68015e-310,0,6.95296e-310,-0.00229802,-0.0173286,0.487607,0.999983,-0.0018692,0.000187158,0.00555755,-1.11489e-05,0.00170185,0.0232347,
0.020000000,0.0263327,-0.00497891,-0.00272702,9.9669,-0.00223526,-0.0170677,0.48665,0.999984,-1.46826e-05,-0.000166671,0.00568675,0.00711719,0.0394495,0.0222272,-0.00154793,-0.0131653,0.489674,0.999984,0.00130337,-0.000408127,0.00555062,0.00655149,0.0381619,0.038256,
0.028000000,0.0263327,-0.00497891,-0.00272702,9.9669,-0.00196649,-0.0155577,0.488053,0.999983,-0.00117626,2.77798e-05,0.00564824,4.68015e-310,0,6.95296e-310,-0.00154793,-0.0131653,0.489674,0.999984,0.00130337,-0.000408127,0.00555062,0.00655149,0.0381619,0.038256,
0.040000000,-0.0216545,0.00447296,-0.00270794,10.0313,-0.00171176,-0.0140978,0.490033,0.999982,-0.00220779,0.000212562,0.00560764,0.0063162,0.0363448,0.051928,-0.0019573,-0.0154034,0.489176,0.999982,-0.00226023,0.000245149,0.00551261,0.000254566,0.0034487,0.0224643,
0.052000000,0.0620994,-0.0106059,-0.00266507,9.79259,-0.00141492,-0.0123601,0.493057,0.999981,-0.00276097,0.000296155,0.00555713,0.00614574,0.0361995,0.0669744,-0.000789032,-0.00857118,0.499684,0.999985,0.000346853,-0.000217243,0.0054244,0.00620996,0.038564,0.0655694,
0.040000000,0.00941628,-0.00138495,-0.00264206,9.99261,-0.00117144,-0.0109024,0.496052,0.99998,-0.00302422,0.000372091,0.00551035,4.68015e-310,0,6.95296e-310,-0.00113806,-0.0106157,0.496981,0.999982,-0.00255308,0.000305039,0.00537828,0.000646265,0.00557676,0.018585,
0.020000000,0.00992176,-0.00167044,-0.00263258,9.9866,-0.00107438,-0.0103142,0.497291,0.999981,-0.00295042,0.000377104,0.00549052,4.68015e-310,0,6.95296e-310,-0.00104094,-0.0100358,0.49819,0.999983,-0.00245393,0.000295919,0.00535895,0.000642819,0.00540066,0.0179848,
0.028000000,0.00992176,-0.00167044,-0.00263258,9.9866,-0.000831988,-0.00883192,0.500402,0.999982,-0.0023636,0.000317921,0.00544089,0.00605319,0.0370934,0.0782203,-0.00104094,-0.0100358,0.49819,0.999983,-0.00245393,0.000295919,0.00535895,0.000642819,0.00540066,0.0179848,
0.052000000,0.00545612,-0.00140694,-0.00258272,9.95506,-0.000591395,-0.00734772,0.503796,0.999984,-0.00194465,0.000253458,0.00538655,4.68015e-310,0,6.95296e-310,-0.000569443,-0.00716307,0.504538,0.999985,-0.00167151,0.00018433,0.00525748,0.000416649,0.00360217,0.014839,
0.028000000,0.0640121,-0.0107282,-0.0025555,9.65313,-0.000354586,-0.00587721,0.507376,0.999985,-0.00151969,0.000117157,0.00532886,0.00589025,0.0366484,0.0889596,0.000228799,-0.00216878,0.515505,0.999985,0.00168371,-0.000402382,0.0052015,0.0056157,0.0364886,0.0736111,
0.012000000,0.00317358,-0.000158288,-0.00254921,9.9343,-0.000307959,-0.00558554,0.50808,0.999985,-0.00137861,8.18582e-05,0.00531676,4.68015e-310,0,6.95296e-310,-0.000300762,-0.0054538,0.508719,0.999986,-0.0012199,7.46119e-05,0.0051893,0.000141876,0.00258221,0.0127662,
0.040000000,0.0583911,-0.00899402,-0.00252316,9.62662,-8.07655e-05,-0.00414764,0.511689,0.999986,-0.000779321,-5.66613e-05,0.00526121,0.00561862,0.0357267,0.090756,0.000461798,-0.000593802,0.519865,0.999984,0.00214256,-0.000491093,0.00513555,0.00509809,0.0344117,0.0727557,
0.048000000,0.0551675,-0.00807985,-0.00249407,9.59076,0.000174754,-0.00248497,0.516207,0.999986,-0.00036161,-0.000132715,0.00520056,0.00521563,0.034204,0.0951549,0.000671406,0.000881729,0.524643,0.999984,0.00239884,-0.000522401,0.00507635,0.00459732,0.0322469,0.0735671,
0.052000000,0.0491475,-0.0063324,-0.00246235,9.60003,0.000409642,-0.000905641,0.520491,0.999987,0.000252895,-0.000272692,0.00513423,0.00477542,0.0324232,0.0857963,0.000851802,0.00223353,0.528038,0.999984,0.00271189,-0.000576659,0.00501169,0.00397445,0.0295729,0.0651341,
0.040000000,-0.0085345,0.00275465,-0.00244544,9.86523,0.00051831,-0.000151601,0.522349,0.999987,0.000797617,-0.000353013,0.00510035,4.68015e-310,0,6.95296e-310,0.000488272,-0.000216386,0.522642,0.999988,0.000370238,-0.000217361,0.00497804,-0.000556865,-0.00115494,0.00586215,
0.020000000,0.0360118,-0.00408391,-0.00242882,9.64042,0.000620279,0.00057327,0.52398,0.999986,0.00142274,-0.000435038,0.00506448,0.00424463,0.0301744,0.0679268,0.00099752,0.00339542,0.529942,0.999982,0.00322438,-0.000629938,0.00494352,0.00324035,0.0256893,0.0512977,
0.028000000,0.0360118,-0.00408391,-0.00242882,9.64042,0.000801481,0.00191179,0.526618,0.999984,0.00258207,-0.000580812,0.00499786,0.00360253,0.0269997,0.0516932,0.00099752,0.00339542,0.529942,0.999982,0.00322438,-0.000629938,0.00494352,0.00324035,0.0256893,0.0512977,
0.012000000,-0.0245354,0.00474268,-0.00239142,9.84263,0.000828411,0.00211772,0.527017,0.999984,0.00271822,-0.000593502,0.00498783,4.68015e-310,0,6.95296e-310,0.000778711,0.00189022,0.527197,0.999987,0.00149036,-0.000362165,0.00486817,-0.000920177,-0.00414693,0.00359374,
0.040000000,0.00991338,-0.000454941,-0.00237009,9.6954,0.000948238,0.00306512,0.528829,0.999982,0.00323682,-0.000612157,0.00494252,0.00287252,0.0229733,0.0434255,0.00117711,0.00503231,0.532614,0.999981,0.00373267,-0.00063207,0.00482425,0.0016992,0.0162103,0.0322809,
0.048000000,-0.0280434,0.00426003,-0.00234881,9.82602,0.001044,0.00386775,0.530455,0.999982,0.00340032,-0.000595309,0.00489899,4.68015e-310,0,6.95296e-310,0.000993667,0.00357934,0.530552,0.999986,0.0019972,-0.00038878,0.00478144,-0.000941255,-0.00530821,0.00192643,
0.040000000,-0.0243503,0.00278605,-0.00232448,9.81749,0.0011295,0.00463991,0.532223,0.999983,0.00322571,-0.0004818,0.00484856,4.68015e-310,0,6.95296e-310,0.00108791,0.00436289,0.532277,0.999987,0.00200759,-0.000348028,0.00473219,-0.000790035,-0.00514162,0.0010746,
0.040000000,-0.0243503,0.00278605,-0.00232448,9.81749,0.00118097,0.0051372,0.533528,0.999984,0.0029468,-0.000416484,0.00479943,0.00120607,0.0117903,0.0324923,0.00108791,0.00436289,0.532277,0.999987,0.00200759,-0.000348028,0.00473219,-0.000790035,-0.00514162,0.0010746,
0.012000000,-0.000586659,-0.000265133,-0.00230118,9.70747,0.00118939,0.00522178,0.533787,0.999984,0.00285611,-0.0003956,0.00478852,4.68015e-310,0,6.95296e-310,0.00126208,0.00603093,0.536281,0.999985,0.00291758,-0.000429542,0.00468432,0.000411804,0.00609371,0.0225619,
0.020000000,-8.65534e-05,-0.000534014,-0.00229053,9.70546,0.00119724,0.00530173,0.534045,0.999985,0.00275413,-0.000372003,0.00477728,0.00105407,0.0105796,0.0323322,0.00126695,0.00609235,0.536772,0.999985,0.00274997,-0.000398409,0.00466268,0.000331571,0.00523416,0.0222028,
0.020000000,0.00211976,-0.00122553,-0.00226938,9.70139,0.00122355,0.00557858,0.535073,0.999986,0.00228295,-0.000274856,0.00473327,0.000793926,0.00839424,0.0320368,0.00127537,0.00619295,0.53775,0.999986,0.00238926,-0.000335371,0.00461969,0.000223125,0.00385885,0.0215053,
0.048000000,0.00565472,-0.00171653,-0.00223902,9.70594,0.00125194,0.00588672,0.536503,0.999988,0.00164041,-0.000197321,0.00466992,0.000539138,0.0058412,0.0284375,0.00128475,0.00630236,0.538843,0.999988,0.00192356,-0.000281642,0.00455789,9.02195e-05,0.00237993,0.018365,
0.040000000,0.0070218,-0.00122303,-0.00220827,9.72817,0.0012714,0.0061001,0.537568,0.999989,0.0012866,-0.000218793,0.00460562,0.000361946,0.00403208,0.0198645,0.00128501,0.00636665,0.539162,0.999989,0.00163799,-0.000278185,0.00449521,-0.000108577,0.00118482,0.0120175,
0.012000000,0.000774898,-0.000482499,-0.0022031,9.79101,0.00127381,0.00612836,0.537702,0.999989,0.00125364,-0.000226513,0.00459491,4.68015e-310,0,6.95296e-310,0.00125142,0.00600425,0.537624,0.999989,0.00129252,-0.000250322,0.00448473,-0.000455548,-0.00249504,-0.00156194,
0.040000000,0.00674362,-0.000654031,-0.00217725,9.75391,0.00128171,0.00624273,0.538193,0.999989,0.00113155,-0.000241338,0.00454088,0.000161735,0.00264197,0.0108658,0.00127388,0.00638548,0.539016,0.999989,0.0014689,-0.000272385,0.00443206,-0.000327967,0.000103298,0.00559347,
0.048000000,0.00664872,-0.000756675,-0.00214829,9.76568,0.00128195,0.00632652,0.53855,0.999989,0.000980727,-0.000200507,0.00448051,-4.22484e-05,0.00146376,0.00664169,0.00125744,0.0063662,0.539009,0.99999,0.00131335,-0.000236746,0.00437313,-0.000459339,-0.000778426,0.00254708,
0.040000000,0.00642203,-0.000737908,-0.00212139,9.77909,0.00127419,0.00636121,0.538712,0.99999,0.000863441,-0.000176613,0.00442441,-0.000196466,0.000496765,0.00219957,0.00123654,0.0063159,0.538794,0.99999,0.00118472,-0.000211995,0.00431837,-0.000567735,-0.00150779,-0.0005535,
0.012000000,0.00562486,-0.00110591,-0.0021168,9.78609,0.00127224,0.00636294,0.538718,0.99999,0.000861516,-0.000171313,0.0044149,4.68015e-310,0,6.95296e-310,0.00125413,0.00626937,0.538615,0.99999,0.00114302,-0.000225276,0.00430906,-0.00037955,-0.00196333,-0.00205265,
0.048000000,0.00486808,-0.000844645,-0.00209033,9.79254,0.00126013,0.00635554,0.538665,0.99999,0.000881519,-0.000144132,0.0043597,-0.000320565,-0.000316605,-0.00193469,0.00121302,0.00622954,0.538401,0.99999,0.00112512,-0.00018521,0.00425518,-0.000634612,-0.00228298,-0.00334314,
